date,market,개인,외국인,기관,연기금
2024-09-03,KOSPI,5133.65,-2871.15,-2470.57,32.12
2024-09-04,KOSDAQ,1126.61,295.54,-1496.54,-228.84
2024-09-04,KOSPI,16502.29,-9885.79,-7302.11,307.86
2024-09-05,KOSDAQ,346.8,-165.22,-244.05,-240.3
2024-09-05,KOSPI,4651.82,-5899.02,1203.84,523.5
2024-09-06,KOSDAQ,815.42,-851.61,-44.6,-35.33
2024-09-06,KOSPI,1708.07,-2649.23,829.46,8.52
2024-09-09,KOSDAQ,-2005.18,874.24,1111.05,165.78
2024-09-09,KOSPI,4694.05,-5401.76,450.31,357.38
2024-09-10,KOSDAQ,2549.01,-1912.05,-647.5,-135.53
2024-09-10,KOSPI,6850.6,-6653.87,-599.72,370.66
2024-09-11,KOSDAQ,-147.43,342.11,-202.0,93.8
2024-09-11,KOSPI,8906.84,-10283.61,424.95,192.82
2024-09-12,KOSDAQ,-3399.26,2125.77,1252.52,210.21
2024-09-12,KOSPI,-2424.22,2785.26,255.15,-438.19
2024-09-13,KOSDAQ,1331.28,-1297.22,-23.41,81.88
2024-09-13,KOSPI,4036.51,-9596.33,4365.49,710.34
2024-09-19,KOSDAQ,-1902.92,1728.19,257.76,-60.02
2024-09-19,KOSPI,2640.73,-11713.28,8794.88,107.39
2024-09-20,KOSDAQ,-1469.07,1321.52,482.06,49.72
2024-09-20,KOSPI,-2443.83,-326.5,2728.36,140.36
2024-09-23,KOSDAQ,205.06,-352.87,410.78,119.9
2024-09-23,KOSPI,3712.6,-7018.64,3442.81,280.82
2024-09-24,KOSDAQ,-1519.77,960.71,646.26,271.35
2024-09-24,KOSPI,-2100.95,-3789.5,5721.31,64.7
2024-09-25,KOSDAQ,392.09,117.48,-437.83,-40.67
2024-09-25,KOSPI,347.71,-5718.26,5494.59,-463.34
2024-09-26,KOSDAQ,-2641.28,1838.36,1013.71,125.91
2024-09-26,KOSPI,-12634.13,4904.29,8023.56,41.25
2024-09-27,KOSDAQ,1695.73,-766.22,-427.74,-78.69
2024-09-27,KOSPI,1776.11,2654.04,-4312.36,20.58
2024-09-30,KOSDAQ,800.46,-501.45,-255.85,-114.79
2024-09-30,KOSPI,11892.02,-10000.57,-2135.0,-233.76
2024-10-02,KOSDAQ,-216.22,-215.39,429.29,-21.06
2024-10-02,KOSPI,9868.21,-3047.76,-7059.51,-211.91
2024-10-04,KOSDAQ,-1922.18,791.02,1212.45,121.0
2024-10-04,KOSPI,672.07,428.37,-2168.41,-652.44
2024-10-07,KOSDAQ,-830.51,781.82,101.3,48.64
2024-10-07,KOSPI,-1462.28,290.35,856.02,869.04
2024-10-08,KOSDAQ,1011.89,-917.92,-91.35,-227.51
2024-10-08,KOSPI,6977.51,-3766.04,-3497.93,46.81
2024-10-10,KOSDAQ,2032.12,-919.61,-1092.74,-318.66
2024-10-10,KOSPI,1476.63,1606.63,-2955.13,1184.21
2024-10-11,KOSDAQ,-479.38,623.85,91.57,-160.01
2024-10-11,KOSPI,2849.26,-5963.11,2775.15,712.42
2024-10-14,KOSDAQ,1090.65,-505.92,-435.06,-6.41
2024-10-14,KOSPI,-4561.93,904.42,3281.83,897.09
2024-10-15,KOSDAQ,536.84,-249.57,-211.72,-74.79
2024-10-15,KOSPI,-3436.39,2878.09,117.49,711.41
2024-10-16,KOSDAQ,2527.78,-1368.65,-994.61,-209.13
2024-10-16,KOSPI,6535.21,-6574.39,-400.39,1634.45
2024-10-17,KOSDAQ,351.25,32.49,-267.6,-188.76
2024-10-17,KOSPI,1614.65,-4044.49,2007.33,182.01
2024-10-18,KOSDAQ,2476.19,-306.92,-2103.93,-379.83
2024-10-18,KOSPI,3590.49,-4777.84,950.4,356.81
2024-10-21,KOSDAQ,-1500.2,1574.88,146.1,-113.2
2024-10-21,KOSPI,-2683.92,186.9,2683.0,-310.17
2024-10-22,KOSDAQ,3041.43,-1450.61,-1500.93,-102.46
2024-10-22,KOSPI,5672.07,-2807.76,-3073.4,160.07
2024-10-23,KOSDAQ,-964.01,480.88,663.98,-40.79
2024-10-23,KOSPI,-5141.36,2115.88,2990.46,718.54
2024-10-24,KOSDAQ,1758.26,-745.54,-922.96,-25.01
2024-10-24,KOSPI,6253.65,-6041.94,-533.62,-202.76
2024-10-25,KOSDAQ,56.86,266.8,-137.17,-57.98
2024-10-25,KOSPI,2972.88,-3871.87,769.31,-84.85
2024-10-28,KOSDAQ,-1550.18,1785.42,-58.44,-79.83
2024-10-28,KOSPI,-3356.37,-1391.5,4663.3,828.74
2024-10-29,KOSDAQ,39.13,-97.76,10.66,-11.29
2024-10-29,KOSPI,1099.22,-1190.73,177.89,253.14
2024-10-30,KOSDAQ,755.16,-677.33,-127.1,-118.98
2024-10-30,KOSPI,2711.23,-3358.05,418.89,80.36
2024-10-31,KOSDAQ,-1374.5,1557.48,-105.91,-51.77
